20678018;0;107060;1;0;108560;1;0;111410;8;0;112030;5;0;67375;1;0;68311;1;0;71401;3;0;72602;1;0;19285;2;0;19940;2;0;16769;4;0;18209;5
;0;107050;7;0;108500;1;0;108660;1;0;109510;1;0;67372;5;0;68310;1;0;69990;4;0;72329;38;0;19283;80;0;19930;1;0;16752;35;0;18049;2
;0;107040;10;0;107820;1;0;107840;1;0;107890;1;0;67370;1;0;68309;1;0;69937;1;0;72115;1;0;19281;4;0;19910;1;0;16750;6;0;17843;2
;0;107030;3;0;107740;1;1;102840;0;1;103450;0;0;67368;1;0;68302;1;0;69455;1;0;71788;12;0;19280;1;0;19906;2;0;16742;1;0;17750;31
;0;107010;6;0;107650;1;4;100110;0;1;103440;0;0;67366;1;0;68290;1;0;68769;130;0;69788;10;0;19278;1;0;19905;1;0;16727;35;0;17443;2
;0;107000;541;0;107440;1;;;;1;102460;0;0;67365;1;0;68288;10;0;68694;10;899;69330;0;0;19277;10;0;19900;2;0;16720;3;0;17442;6
;0;106990;47;0;107400;11;;;;1;101470;0;0;67364;2;0;68270;1;0;68650;1000;3;69038;0;0;19275;7;0;19899;1;0;16715;1;0;17107;1
;0;106980;31;0;106890;1;;;;1;100220;0;0;67363;1;0;68250;2;5;68602;0;5;68988;0;0;19273;1;0;19892;6;0;16703;1;0;16967;1
;0;106970;31;0;106850;1;;;;4;98750;0;0;67360;1;0;68230;1;130;68557;0;5;68200;0;0;19271;1;0;19890;1;0;16700;41;1;16570;0
;0;106960;21;0;106750;1;;;;;;;0;67358;1;0;68227;1;1000;68550;0;4;67502;0;0;19270;1;0;19844;1;0;16677;35;1;16499;0
;0;106950;11;0;106630;1;;;;;;;0;67353;5;0;68200;3;1;68515;0;5;67500;0;0;19269;15;0;19814;3;0;16670;8;21;15522;0
;0;106940;16;0;106600;3;;;;;;;0;67350;21;0;68194;1;56;68440;0;3;67252;0;0;19268;2;0;19800;1;0;16651;35;;;
;0;106930;5;0;106450;3;;;;;;;0;67348;2;0;68187;1;5;68333;0;1000;67250;0;0;19265;10;0;19784;1;0;16650;1;;;
;0;106920;3;0;106440;1;;;;;;;0;67343;10;0;68150;1;1;68314;0;11;66741;0;0;19264;2;0;19780;1;0;16643;1;;;
;0;106910;5;0;106300;2;;;;;;;0;67341;1;0;68115;1;2;68089;0;5;64000;0;0;19263;1;0;19778;1;0;16627;35;;;
;0;106900;19;0;106150;1;;;;;;;0;67340;1;0;68110;1;10;68088;0;;;;0;19260;2;0;19745;1;0;16621;1;;;
;0;106890;2;0;106030;1;;;;;;;0;67339;1;0;68100;2;5;68065;0;;;;0;19258;1;0;19683;6;0;16616;1;;;
;0;106880;1;0;106000;12;;;;;;;0;67329;1;0;68094;2;1;68019;0;;;;0;19255;10;0;19677;10;0;16600;3;;;
;0;106870;28;0;105920;1;;;;;;;0;67327;1;0;68088;1;1;68002;0;;;;0;19248;1;0;19620;1;0;16599;35;;;
;0;106800;3;0;105850;1;;;;;;;0;67320;1;0;68017;1;3;67885;0;;;;0;19246;40;0;19604;42;0;16550;16;;;
